x y width height conf
0.3564983904361725 0.4973750710487366 0.016660571098327637 0.016071707010269165 0.3696576952934265
0.5575012564659119 0.7958457469940186 0.013690948486328125 0.01362675428390503 0.3456760346889496
0.5488271713256836 0.8959296941757202 0.016557514667510986 0.01673966646194458 0.2817845046520233
0.6138671040534973 0.5508517622947693 0.01496434211730957 0.015395164489746094 0.27617672085762024
0.35540571808815 0.6869790554046631 0.025030791759490967 0.024359166622161865 0.2619573175907135
0.5145700573921204 0.578665554523468 0.01816391944885254 0.018277287483215332 0.24151071906089783
0.3012853264808655 0.6067659854888916 0.02519884705543518 0.03095763921737671 0.22797559201717377
0.618236780166626 0.8788712024688721 0.02274841070175171 0.022072970867156982 0.20010025799274445
0.49383002519607544 0.6755688190460205 0.024981290102005005 0.026114821434020996 0.19945062696933746
0.6168063879013062 0.8793293237686157 0.028108179569244385 0.02577364444732666 0.1907181292772293
0.43154704570770264 0.7313510179519653 0.02401372790336609 0.022398769855499268 0.18087516725063324
0.6179555058479309 0.8787339925765991 0.02689957618713379 0.027021944522857666 0.174498051404953
0.3971501290798187 0.6356219053268433 0.02596592903137207 0.024393856525421143 0.1717151403427124
0.4710628092288971 0.4466976523399353 0.0183790922164917 0.016428083181381226 0.16221290826797485
0.35589563846588135 0.4980446696281433 0.020669907331466675 0.021233290433883667 0.14249376952648163
0.4322916865348816 0.724430501461029 0.029975980520248413 0.03509998321533203 0.14200516045093536
0.4641759991645813 0.7698179483413696 0.023815453052520752 0.023527920246124268 0.14157114923000336
0.29390639066696167 0.5642225742340088 0.02043667435646057 0.01944977045059204 0.13858509063720703
0.5146821737289429 0.5792472958564758 0.022837460041046143 0.024201035499572754 0.13750746846199036
0.26730650663375854 0.611121416091919 0.025183886289596558 0.025666654109954834 0.13714733719825745
0.35681068897247314 0.6869946718215942 0.031186014413833618 0.028948605060577393 0.13644655048847198
0.49254798889160156 0.5834633111953735 0.02158030867576599 0.023922324180603027 0.131760373711586
0.648273766040802 0.9529072046279907 0.01265716552734375 0.012654483318328857 0.13147936761379242
0.36340561509132385 0.6462783217430115 0.03262794017791748 0.03301858901977539 0.12899576127529144
0.4388466477394104 0.755474328994751 0.025357067584991455 0.02172642946243286 0.12761981785297394
0.4312574863433838 0.7136948108673096 0.0328410267829895 0.03145700693130493 0.11628406494855881
0.4488670229911804 0.763938307762146 0.04183444380760193 0.03563624620437622 0.11582285165786743
0.46111375093460083 0.7688022255897522 0.030332177877426147 0.026725292205810547 0.11544351279735565
0.268215537071228 0.6117393970489502 0.02654436230659485 0.029347002506256104 0.11513122916221619
0.41468745470046997 0.7102857828140259 0.022999197244644165 0.022922158241271973 0.11316641420125961
0.6489675045013428 0.5740860104560852 0.019777655601501465 0.019657135009765625 0.11084933578968048
0.4322836101055145 0.7301353216171265 0.025514602661132812 0.025288164615631104 0.10764086246490479
0.5163062214851379 0.6855011582374573 0.015735268592834473 0.016068577766418457 0.10661549866199493
0.4114680290222168 0.710555374622345 0.01869240403175354 0.020760536193847656 0.10152958333492279
0.44209328293800354 0.7629746198654175 0.03559243679046631 0.03659409284591675 0.0914434865117073
0.492195725440979 0.6756197214126587 0.03155195713043213 0.02984410524368286 0.0892183929681778
0.5576249361038208 0.7961404323577881 0.019414305686950684 0.020325839519500732 0.08598331362009048
0.613584041595459 0.5507279634475708 0.01810663938522339 0.01853466033935547 0.08573301136493683
0.6041378974914551 0.9447149634361267 0.027289986610412598 0.023786544799804688 0.07838484644889832
0.39165177941322327 0.7933557033538818 0.019355595111846924 0.018044650554656982 0.0782298743724823
0.4897425174713135 0.58439040184021 0.026217341423034668 0.028325915336608887 0.07512678951025009
0.44231241941452026 0.7592436671257019 0.02896556258201599 0.029596328735351562 0.06884283572435379
0.6702941656112671 0.9052711725234985 0.014990508556365967 0.014915108680725098 0.06876777112483978
0.39440205693244934 0.6365324258804321 0.03475069999694824 0.031700313091278076 0.055457260459661484
0.42834824323654175 0.7173148393630981 0.04418507218360901 0.036887943744659424 0.05501418560743332
0.504489004611969 0.49705594778060913 0.017175108194351196 0.0163210928440094 0.05496373772621155
